Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,American Indian or Alaska Native,1002-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Female,F,13,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Male,M,11,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Male,M,13,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Female,F,16,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Male,M,21,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Female,F,19,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,65-74 years,65-74,Female,F,12,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Chronic obstructive pulmonary disease, unspecified",J44.9,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,16,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,Female,F,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Male,M,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Female,F,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Male,M,13,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Female,F,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Male,M,25,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Female,F,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Male,M,13,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Male,M,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Female,F,20,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Female,F,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,35-44 years,35-44,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Female,F,39,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Male,M,54,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Female,F,51,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Male,M,75,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Female,F,112,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Male,M,118,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Female,F,145,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Male,M,130,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Female,F,152,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Male,M,69,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,35-44 years,35-44,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,Acute hepatitis C,B17.1,45-54 years,45-54,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,35-44 years,35-44,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,45-54 years,45-54,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other bacterial infections,B20.1,45-54 years,45-54,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,35-44 years,35-44,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,45-54 years,45-54,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,35-44 years,35-44,Male,M,13,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other infectious and parasitic diseases,B20.8,45-54 years,45-54,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple diseases classified elsewhere,B22.7,35-44 years,35-44,Male,M,14,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,35-44 years,35-44,Male,M,34,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,45-54 years,45-54,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,45-54 years,45-54,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,35-44 years,35-44,Male,M,27,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,45-54 years,45-54,Male,M,19,Not Applicable,Not Applicable
,Black or African American,2054-5,Sequelae of other specified infectious and parasitic diseases,B94.8,45-54 years,45-54,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,45-54 years,45-54,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,55-64 years,55-64,Male,M,37,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,65-74 years,65-74,Male,M,27,Not Applicable,Not Applicable
,Black or African American,2054-5,"Oesophagus, unspecified - Malignant neoplasms",C15.9,75-84 years,75-84,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,45-54 years,45-54,Male,M,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,55-64 years,55-64,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,65-74 years,65-74,Male,M,33,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Female,F,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Stomach, unspecified - Malignant neoplasms",C16.9,75-84 years,75-84,Male,M,21,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,35-44 years,35-44,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Female,F,28,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,45-54 years,45-54,Male,M,35,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Female,F,37,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Male,M,52,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Female,F,48,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Male,M,72,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Female,F,65,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Male,M,64,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,Female,F,34,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,85+ years,85+,Male,M,15,Not Applicable,Not Applicable
