Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,American Indian or Alaska Native,1002-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,23,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Female,F,10,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Unspecified diabetes mellitus, without complications",E14.9,55-64 years,55-64,Male,M,11,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Unspecified diabetes mellitus, without complications",E14.9,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,45-54 years,45-54,Male,M,15,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,55-64 years,55-64,Male,M,20,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Female,F,14,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,65-74 years,65-74,Male,M,24,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Female,F,21,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,75-84 years,75-84,Male,M,23,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,85+ years,85+,Female,F,18,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,55-64 years,55-64,Male,M,12,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Female,F,13,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Male,M,13,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Female,F,14,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,85+ years,85+,Female,F,12,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Stroke, not specified as haemorrhage or infarction",I64,75-84 years,75-84,Male,M,13,Not Applicable,Not Applicable
