Notes,Race,Race Code,Cause of death,Cause of death Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,65-74 years,65-74,Male,M,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Atherosclerotic heart disease,I25.1,85+ years,85+,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,Enterocolitis due to Clostridium difficile,A04.7,85+ years,85+,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,45-54 years,45-54,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Female,F,30,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,55-64 years,55-64,Male,M,36,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Female,F,49,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,65-74 years,65-74,Male,M,38,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Female,F,70,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,75-84 years,75-84,Male,M,39,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Female,F,52,Not Applicable,Not Applicable
,Black or African American,2054-5,"Septicaemia, unspecified",A41.9,85+ years,85+,Male,M,22,Not Applicable,Not Applicable
,Black or African American,2054-5,Chronic viral hepatitis C,B18.2,55-64 years,55-64,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in multiple infections,B20.7,45-54 years,45-54,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,HIV disease resulting in other specified conditions,B23.8,45-54 years,45-54,Female,F,12,Not Applicable,Not Applicable
,Black or African American,2054-5,Unspecified human immunodeficiency virus [HIV] disease,B24,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Female,F,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,55-64 years,55-64,Male,M,17,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Female,F,23,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,65-74 years,65-74,Male,M,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Colon, unspecified - Malignant neoplasms",C18.9,75-84 years,75-84,Male,M,16,Not Applicable,Not Applicable
,Black or African American,2054-5,Liver cell carcinoma - Malignant neoplasms,C22.0,55-64 years,55-64,Male,M,18,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,Female,F,14,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,55-64 years,55-64,Male,M,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,65-74 years,65-74,Female,F,15,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,65-74 years,65-74,Male,M,11,Not Applicable,Not Applicable
,Black or African American,2054-5,"Pancreas, unspecified - Malignant neoplasms",C25.9,75-84 years,75-84,Female,F,10,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,Female,F,19,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,45-54 years,45-54,Male,M,25,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Female,F,42,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,55-64 years,55-64,Male,M,57,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Female,F,58,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,65-74 years,65-74,Male,M,65,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,Female,F,44,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,75-84 years,75-84,Male,M,49,Not Applicable,Not Applicable
,Black or African American,2054-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,85+ years,85+,Male,M,12,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,35-44 years,35-44,Female,F,16,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,45-54 years,45-54,Female,F,32,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,55-64 years,55-64,Female,F,38,Not Applicable,Not Applicable
,Black or African American,2054-5,"Breast, unspecified - Malignant neoplasms",C50.9,65-74 years,65-74,Female,F,29,Not Applicable,Not Applicable
