Notes,Race,Race Code,Cause of death,Cause of death Code,Gender,Gender Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Deaths,Population,Crude Rate
,American Indian or Alaska Native,1002-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,65-74 years,65-74,16,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,65-74 years,65-74,14,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,75-84 years,75-84,11,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,Female,F,65-74 years,65-74,10,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,"Acute myocardial infarction, unspecified",I21.9,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Atherosclerotic heart disease,I25.1,Male,M,65-74 years,65-74,15,Not Applicable,Not Applicable
,American Indian or Alaska Native,1002-5,Alcoholic cirrhosis of liver,K70.3,Male,M,55-64 years,55-64,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Septicaemia, unspecified",A41.9,Female,F,65-74 years,65-74,13,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Septicaemia, unspecified",A41.9,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Septicaemia, unspecified",A41.9,Female,F,85+ years,85+,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Septicaemia, unspecified",A41.9,Male,M,75-84 years,75-84,11,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,65-74 years,65-74,16,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Female,F,75-84 years,75-84,13,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,55-64 years,55-64,17,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,65-74 years,65-74,16,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,Male,M,75-84 years,75-84,16,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Breast, unspecified - Malignant neoplasms",C50.9,Female,F,55-64 years,55-64,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,Unspecified dementia,F03,Female,F,85+ years,85+,19,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,Female,F,65-74 years,65-74,15,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,Female,F,75-84 years,75-84,10,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,Male,M,45-54 years,45-54,12,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,Male,M,55-64 years,55-64,23,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,Male,M,65-74 years,65-74,25,Not Applicable,Not Applicable
,Asian or Pacific Islander,A-PI,"Acute myocardial infarction, unspecified",I21.9,Male,M,75-84 years,75-84,25,Not Applicable,Not Applicable
