Notes	ICD-10 113 Cause List	ICD-10 113 Cause List Code	Ten-Year Age Groups	Ten-Year Age Groups Code	Gender	Gender Code	Census Region	Census Region Code	Deaths	Population	Crude Rate
	#Salmonella infections (A01-A02)	GR113-001	55-64 years	55-64	Male	M	Census Region 3: South	CENS-R3	10	Not Applicable	Not Applicable
	#Salmonella infections (A01-A02)	GR113-001	65-74 years	65-74	Female	F	Census Region 3: South	CENS-R3	10	Not Applicable	Not Applicable
	#Salmonella infections (A01-A02)	GR113-001	65-74 years	65-74	Male	M	Census Region 3: South	CENS-R3	10	Not Applicable	Not Applicable
	#Salmonella infections (A01-A02)	GR113-001	75-84 years	75-84	Female	F	Census Region 3: South	CENS-R3	12	Not Applicable	Not Applicable
	#Salmonella infections (A01-A02)	GR113-001	75-84 years	75-84	Male	M	Census Region 3: South	CENS-R3	14	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Female	F	Census Region 1: Northeast	CENS-R1	82	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Female	F	Census Region 2: Midwest	CENS-R2	100	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Female	F	Census Region 3: South	CENS-R3	222	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Female	F	Census Region 4: West	CENS-R4	85	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Male	M	Census Region 1: Northeast	CENS-R1	93	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Male	M	Census Region 2: Midwest	CENS-R2	133	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Male	M	Census Region 3: South	CENS-R3	285	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	< 1 year	1	Male	M	Census Region 4: West	CENS-R4	104	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	1-4 years	4-Jan	Female	F	Census Region 3: South	CENS-R3	10	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	1-4 years	4-Jan	Male	M	Census Region 3: South	CENS-R3	11	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	15-24 years	15-24	Female	F	Census Region 3: South	CENS-R3	10	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	15-24 years	15-24	Male	M	Census Region 3: South	CENS-R3	14	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	15-24 years	15-24	Male	M	Census Region 4: West	CENS-R4	10	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	25-34 years	25-34	Female	F	Census Region 2: Midwest	CENS-R2	12	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	25-34 years	25-34	Female	F	Census Region 3: South	CENS-R3	30	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	25-34 years	25-34	Female	F	Census Region 4: West	CENS-R4	27	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	25-34 years	25-34	Male	M	Census Region 2: Midwest	CENS-R2	14	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	25-34 years	25-34	Male	M	Census Region 3: South	CENS-R3	27	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	25-34 years	25-34	Male	M	Census Region 4: West	CENS-R4	20	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	GR113-003	35-44 years	35-44	Female	F	Census Region 1: Northeast	CENS-R1	35	Not Applicable	Not Applicable
