Notes,ICD-10 113 Cause List,ICD-10 113 Cause List Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
,#Salmonella infections (A01-A02),GR113-001,< 1 year,1,Female,F,2010,2010,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,< 1 year,1,Female,F,2012,2012,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,< 1 year,1,Male,M,2008,2008,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,< 1 year,1,Male,M,2012,2012,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,< 1 year,1,Male,M,2014,2014,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,< 1 year,1,Male,M,2018,2018,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,1-4 years,4-Jan,Female,F,2008,2008,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,1-4 years,4-Jan,Female,F,2012,2012,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,1-4 years,4-Jan,Female,F,2014,2014,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,1-4 years,4-Jan,Male,M,2012,2012,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,5-14 years,14-May,Male,M,2008,2008,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,5-14 years,14-May,Male,M,2014,2014,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,15-24 years,15-24,Female,F,2008,2008,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,15-24 years,15-24,Male,M,2012,2012,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,15-24 years,15-24,Male,M,2014,2014,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,25-34 years,25-34,Male,M,2016,2016,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,35-44 years,35-44,Female,F,2012,2012,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,35-44 years,35-44,Female,F,2018,2018,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,35-44 years,35-44,Male,M,2008,2008,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,35-44 years,35-44,Male,M,2010,2010,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,35-44 years,35-44,Male,M,2012,2012,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,35-44 years,35-44,Male,M,2018,2018,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,45-54 years,45-54,Female,F,2018,2018,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,45-54 years,45-54,Male,M,2008,2008,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,45-54 years,45-54,Male,M,2010,2010,3,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,45-54 years,45-54,Male,M,2012,2012,2,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,45-54 years,45-54,Male,M,2014,2014,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,45-54 years,45-54,Male,M,2016,2016,1,Not Applicable,Not Applicable
,#Salmonella infections (A01-A02),GR113-001,45-54 years,45-54,Male,M,2018,2018,2,Not Applicable,Not Applicable
